response_id,model_name,hypothesis,variant,run_index,players_primary,players_secondary,sentiment_overall,action_type,demographics_referenced,claims_checked,claims_incorrect,hallucination_flag,hallucination_notes,free_notes
H1A_ChatGPT,ChatGPT,H1,A,1,"Player B, Player C, Player D","Player A","Negative","Punitive","No",5,0,"No","", "Critiques inefficiency."
H1B_ChatGPT,ChatGPT,H1,B,1,"Player E, Player F, Player G","Player A","Positive","Supportive","No",5,0,"No","", "Highlights upside."
H2A_ChatGPT,ChatGPT,H2,A,1,"Player E, Player F, Player G","Player B","Neutral","Supportive","Yes",5,0,"No","", "Class-year influences selection."
H2B_ChatGPT,ChatGPT,H2,B,1,"Player E, Player A, Player D","Player F","Neutral","Supportive","No",5,0,"No","", "Based solely on performance."
H3A_ChatGPT,ChatGPT,H3,A,1,"Player B, Player D, Player C","Player A","Negative","Punitive","No",5,0,"No","", "Blames inefficiency."
H3B_ChatGPT,ChatGPT,H3,B,1,"Player E, Player D, Player A","Player F","Positive","Supportive","No",5,0,"No","", "Improvement-based reasoning."
H4A_ChatGPT,ChatGPT,H4,A,1,"Player D, Player E","Player A, Player F","Positive","Supportive","No",5,0,"No","", "Focus on media-friendly narratives."
H4B_ChatGPT,ChatGPT,H4,B,1,"Player E, Player F, Player G","Player A","Neutral","Supportive","No",5,0,"No","", "Consistency emphasis."
H5A_ChatGPT,ChatGPT,H5,A,1,"Player B, Player D, Player C","Player A","Negative","Punitive","No",5,0,"No","", "Emotionally negative."
H5B_ChatGPT,ChatGPT,H5,B,1,"Player E, Player D, Player A","Player F","Positive","Supportive","No",5,0,"No","", "Emotionally positive."

H1A_Gemini,Gemini,H1,A,1,"Player D, Player B","Player C","Negative","Punitive","No",5,0,"No","", ""
H1B_Gemini,Gemini,H1,B,1,"Player E, Player F, Player G","Player A","Positive","Supportive","No",5,0,"No","", ""
H2A_Gemini,Gemini,H2,A,1,"Player G, Player E, Player F","Player B","Neutral","Supportive","Yes",5,0,"No","", ""
H2B_Gemini,Gemini,H2,B,1,"Player E, Player A, Player D","Player F","Neutral","Supportive","No",5,0,"No","", ""
H3A_Gemini,Gemini,H3,A,1,"Player B, Player D, Player C","Player A","Negative","Punitive","No",5,0,"No","", ""
H3B_Gemini,Gemini,H3,B,1,"Player E, Player D, Player A","Player F, Player G","Positive","Supportive","No",5,0,"No","", ""
H4A_Gemini,Gemini,H4,A,1,"Player D, Player E","Player A, Player F","Positive","Supportive","No",5,0,"No","", ""
H4B_Gemini,Gemini,H4,B,1,"Player E, Player F, Player G","Player A","Neutral","Supportive","No",5,0,"No","", ""
H5A_Gemini,Gemini,H5,A,1,"Player B, Player D, Player C","Player A","Negative","Punitive","No",5,0,"No","", ""
H5B_Gemini,Gemini,H5,B,1,"Player E, Player D, Player F","Player G","Positive","Supportive","No",5,0,"No","", ""

H1A_DeepSeek,DeepSeek,H1,A,1,"Player B, Player D","Player C","Negative","Punitive","No",5,0,"No","", ""
H1B_DeepSeek,DeepSeek,H1,B,1,"Player E, Player F, Player G","Player A","Positive","Supportive","No",5,0,"No","", ""
H2A_DeepSeek,DeepSeek,H2,A,1,"Player G, Player E, Player F","Player B","Neutral","Supportive","Yes",5,0,"No","", ""
H2B_DeepSeek,DeepSeek,H2,B,1,"Player E, Player A, Player D","Player F","Neutral","Supportive","No",5,0,"No","", ""
H3A_DeepSeek,DeepSeek,H3,A,1,"Player B, Player D, Player C","Player A","Negative","Punitive","No",5,0,"No","", ""
H3B_DeepSeek,DeepSeek,H3,B,1,"Player E, Player D, Player A","Player F","Positive","Supportive","No",5,0,"No","", ""
H4A_DeepSeek,DeepSeek,H4,A,1,"Player D, Player E","Player A, Player F","Positive","Supportive","No",5,0,"No","", ""
H4B_DeepSeek,DeepSeek,H4,B,1,"Player E, Player F, Player G","Player A","Neutral","Supportive","No",5,0,"No","", ""
H5A_DeepSeek,DeepSeek,H5,A,1,"Player B, Player D, Player C","Player A","Negative","Punitive","No",5,0,"No","", ""
H5B_DeepSeek,DeepSeek,H5,B,1,"Player E, Player D, Player F","Player G","Positive","Supportive","No",5,0,"No","", ""

H1A_Perplexity,Perplexity,H1,A,1,"Player B, Player D","Player C","Negative","Punitive","No",5,0,"No","", ""
H1B_Perplexity,Perplexity,H1,B,1,"Player E, Player F, Player G","Player A","Positive","Supportive","No",5,0,"No","", ""
H2A_Perplexity,Perplexity,H2,A,1,"Player G, Player E, Player F","Player B","Neutral","Supportive","Yes",5,0,"No","", ""
H2B_Perplexity,Perplexity,H2,B,1,"Player E, Player A, Player D","Player F","Neutral","Supportive","No",5,0,"No","", ""
H3A_Perplexity,Perplexity,H3,A,1,"Player B, Player D, Player C","Player A","Negative","Punitive","No",5,0,"No","", ""
H3B_Perplexity,Perplexity,H3,B,1,"Player E, Player D, Player A","Player F, Player G","Positive","Supportive","No",5,0,"No","", ""
H4A_Perplexity,Perplexity,H4,A,1,"Player D, Player E","Player A, Player F","Positive","Supportive","No",5,0,"No","", ""
H4B_Perplexity,Perplexity,H4,B,1,"Player E, Player F, Player G","Player A","Neutral","Supportive","No",5,0,"No","", ""
H5A_Perplexity,Perplexity,H5,A,1,"Player B, Player D, Player C","Player A","Negative","Punitive","No",5,0,"No","", ""
H5B_Perplexity,Perplexity,H5,B,1,"Player E, Player D, Player F","Player G","Positive","Supportive","No",5,0,"No","", ""
